CardSK,CardID,Card Type,Credit Limit,Credit Card Balance,Rewards Points
1,1,AMEX,1737.88,4524.32,8142
2,2,MasterCard,1799.36,856.7,4306
3,3,AMEX,6112.96,3242.36,4842
4,4,MasterCard,2069.41,4329.17,9463
5,5,Visa,2765.3,25.72,2209
6,6,AMEX,8029.18,1331.7,478
7,7,MasterCard,2996.82,1441.65,5745
8,8,AMEX,4470.78,3450.21,5559
9,10,Visa,4961.44,2765.38,8226
10,11,Visa,4782.39,4564.25,4624
11,12,AMEX,5697.31,4935.07,3488
12,13,Visa,5776.68,339.59,2102
13,14,Visa,3018.46,4357.95,4833
14,15,AMEX,2345.93,1066.61,4769
15,16,Visa,2673.1,770.74,7000
16,17,AMEX,2838.82,3905.1,2437
17,18,MasterCard,8388.99,3165.21,5109
18,19,AMEX,9371.27,299.03,8681
19,20,MasterCard,7650.68,1076.46,3441
20,21,MasterCard,1374.25,3559.98,1213
21,23,Visa,8026.74,1424.94,1533
22,24,AMEX,5693.7,2256.35,6245
23,25,AMEX,1720.05,4563.01,6588
24,26,Visa,5608.25,4251.87,5749
25,27,AMEX,6736.21,1084.56,1470
26,28,AMEX,6126.15,1530.42,2965
27,29,AMEX,7494.66,2591.92,2963
28,30,Visa,3404.77,2181.1,8656
29,31,AMEX,7278.03,3846.45,3298
30,32,Visa,3997.31,4756.24,6208
31,33,MasterCard,7417.07,3107.77,2387
32,34,Visa,5395.87,560.7,4561
33,35,AMEX,8046.16,2208.16,2971
34,36,Visa,5522.52,2735.81,6543
35,37,MasterCard,3589.1,4775.86,443
36,38,AMEX,9908.09,1725.59,440
37,39,AMEX,3179.12,3347.7,9290
38,40,MasterCard,4623.6,56.38,526
39,41,Visa,7976.79,2183.5,1841
40,42,MasterCard,5660.53,202.41,6292
41,43,AMEX,7147.73,1185.11,2095
42,44,MasterCard,5391.71,2346.46,2285
43,45,AMEX,6494.58,2906.73,7103
44,46,AMEX,5610.23,4383.34,4173
45,47,MasterCard,9925.21,924.02,722
46,48,MasterCard,2867.41,1543.14,5615
47,49,MasterCard,9023.88,2786.09,2212
48,50,Visa,5180.67,1063.32,2445
49,52,AMEX,9801.79,4369.68,2757
50,53,AMEX,8825.31,4434.35,2042
51,54,MasterCard,1662.19,3601.42,4735
52,55,AMEX,4451.64,4981.24,8927
53,56,MasterCard,8771.57,4130.99,8261
54,57,MasterCard,5559.78,2479.94,2928
55,58,Visa,9315.29,3693.78,5456
56,59,AMEX,6365.93,479.28,3616
57,61,MasterCard,5051.49,4920.85,4132
58,62,AMEX,1834.47,4285.04,8052
59,64,AMEX,2220.55,826.04,2892
60,65,AMEX,8216.62,527.51,1801
61,66,MasterCard,9313.17,2128.26,6734
