FeedbackSK,Feedback ID,Feedback Type,Resolution Status
1,1,Suggestion,Resolved
2,2,Complaint,Resolved
3,3,Praise,Pending
4,4,Complaint,Resolved
5,5,Complaint,Resolved
6,6,Praise,Resolved
7,7,Complaint,Pending
8,8,Complaint,Pending
9,10,Complaint,Resolved
10,11,Complaint,Pending
11,12,Complaint,Pending
12,13,Praise,Resolved
13,14,Praise,Resolved
14,15,Suggestion,Pending
15,16,Complaint,Pending
16,17,Suggestion,Pending
17,18,Praise,Resolved
18,19,Praise,Resolved
19,20,Praise,Pending
20,21,Complaint,Pending
21,23,Complaint,Resolved
22,24,Suggestion,Resolved
23,25,Praise,Resolved
24,26,Complaint,Pending
25,27,Suggestion,Pending
26,28,Complaint,Pending
27,29,Suggestion,Pending
28,30,Suggestion,Resolved
29,31,Praise,Pending
30,32,Praise,Resolved
31,33,Complaint,Resolved
32,34,Complaint,Resolved
33,35,Praise,Resolved
34,36,Complaint,Pending
35,37,Suggestion,Resolved
36,38,Praise,Resolved
37,39,Praise,Resolved
38,40,Praise,Resolved
39,41,Complaint,Pending
40,42,Complaint,Pending
41,43,Praise,Resolved
42,44,Complaint,Resolved
43,45,Praise,Resolved
44,46,Praise,Pending
45,47,Suggestion,Resolved
46,48,Suggestion,Resolved
47,49,Suggestion,Resolved
48,50,Praise,Resolved
49,52,Complaint,Pending
50,53,Praise,Pending
51,54,Praise,Resolved
52,55,Praise,Pending
53,56,Praise,Resolved
54,57,Suggestion,Pending
55,58,Suggestion,Pending
56,59,Praise,Resolved
57,61,Praise,Resolved
58,62,Praise,Resolved
59,64,Suggestion,Pending
60,65,Praise,Pending
61,66,Complaint,Resolved
62,67,Praise,Pending
63,69,Suggestion,Resolved
64,70,Complaint,Resolved
65,71,Suggestion,Resolved
66,72,Complaint,Resolved
67,73,Complaint,Resolved
68,74,Praise,Pending
69,76,Suggestion,Pending
70,77,Praise,Pending
71,78,Suggestion,Resolved
72,79,Praise,Resolved
73,80,Praise,Pending
74,81,Complaint,Resolved
75,82,Complaint,Resolved
76,83,Praise,Resolved
77,84,Complaint,Pending
78,85,Praise,Resolved
79,86,Suggestion,Resolved
80,87,Complaint,Pending
81,88,Complaint,Pending
82,89,Praise,Pending
83,90,Suggestion,Resolved
84,91,Complaint,Pending
85,92,Complaint,Pending
86,93,Praise,Pending
87,94,Suggestion,Resolved
88,95,Praise,Pending
89,96,Complaint,Resolved
90,97,Suggestion,Resolved
91,98,Praise,Resolved
92,99,Suggestion,Pending
93,100,Praise,Resolved
94,101,Complaint,Pending
95,102,Praise,Resolved
96,103,Complaint,Pending
97,104,Complaint,Pending
98,105,Praise,Pending
99,106,Suggestion,Resolved
100,107,Complaint,Pending
101,108,Praise,Resolved
102,109,Suggestion,Pending
103,110,Suggestion,Pending
104,111,Suggestion,Pending
105,112,Praise,Pending
106,113,Praise,Pending
107,114,Suggestion,Resolved
108,115,Praise,Pending
109,116,Suggestion,Resolved
110,118,Suggestion,Pending
111,119,Complaint,Resolved
112,120,Suggestion,Resolved
113,121,Suggestion,Pending
114,123,Praise,Resolved
115,124,Suggestion,Resolved
116,125,Praise,Pending
117,126,Praise,Resolved
118,127,Suggestion,Pending
119,128,Complaint,Pending
120,129,Praise,Resolved
121,130,Suggestion,Pending
122,131,Praise,Resolved
123,133,Praise,Resolved
124,134,Complaint,Resolved
125,135,Suggestion,Resolved
126,136,Praise,Resolved
127,137,Complaint,Resolved
128,138,Praise,Pending
129,139,Praise,Resolved
130,140,Praise,Resolved
131,141,Praise,Resolved
132,142,Complaint,Resolved
133,143,Praise,Resolved
134,144,Suggestion,Resolved
135,145,Praise,Pending
136,146,Suggestion,Pending
137,147,Praise,Resolved
138,149,Praise,Pending
139,150,Praise,Pending
140,151,Praise,Resolved
141,152,Complaint,Pending
142,153,Suggestion,Pending
143,154,Suggestion,Resolved
144,155,Suggestion,Resolved
145,156,Suggestion,Pending
146,157,Complaint,Pending
147,158,Complaint,Pending
148,159,Complaint,Pending
149,160,Suggestion,Pending
150,161,Suggestion,Resolved
151,162,Suggestion,Resolved
152,163,Praise,Pending
153,164,Complaint,Resolved
154,165,Complaint,Resolved
155,166,Praise,Pending
156,167,Complaint,Pending
157,170,Praise,Pending
158,171,Complaint,Resolved
159,173,Praise,Resolved
160,174,Praise,Resolved
161,175,Complaint,Resolved
162,176,Suggestion,Resolved
163,177,Complaint,Pending
164,178,Praise,Pending
165,180,Praise,Pending
166,181,Suggestion,Pending
167,182,Suggestion,Resolved
168,183,Suggestion,Pending
169,184,Suggestion,Pending
170,185,Suggestion,Pending
171,186,Suggestion,Resolved
172,187,Complaint,Resolved
173,188,Suggestion,Pending
174,189,Suggestion,Resolved
175,190,Complaint,Pending
176,191,Praise,Pending
177,192,Praise,Resolved
178,193,Praise,Pending
179,194,Praise,Resolved
180,195,Suggestion,Pending
181,196,Suggestion,Resolved
182,197,Complaint,Pending
183,198,Praise,Resolved
184,199,Suggestion,Resolved
185,200,Complaint,Resolved
186,201,Suggestion,Pending
187,202,Suggestion,Resolved
188,204,Suggestion,Resolved
189,205,Suggestion,Resolved
190,206,Praise,Resolved
191,207,Praise,Resolved
192,208,Suggestion,Pending
193,209,Praise,Pending
194,210,Suggestion,Pending
195,211,Praise,Resolved
196,212,Suggestion,Resolved
197,213,Complaint,Resolved
198,214,Praise,Resolved
199,215,Complaint,Pending
200,216,Suggestion,Pending
201,217,Suggestion,Resolved
202,218,Praise,Resolved
203,219,Praise,Pending
204,220,Complaint,Resolved
205,221,Complaint,Pending
206,222,Praise,Pending
207,223,Praise,Resolved
208,224,Praise,Pending
209,225,Suggestion,Resolved
210,226,Complaint,Pending
211,227,Suggestion,Resolved
212,228,Praise,Pending
213,230,Complaint,Pending
214,231,Praise,Pending
215,232,Praise,Pending
216,233,Complaint,Pending
217,234,Complaint,Pending
218,235,Suggestion,Resolved
219,236,Praise,Pending
220,237,Complaint,Pending
221,238,Praise,Pending
222,239,Suggestion,Pending
223,240,Complaint,Pending
224,241,Complaint,Resolved
225,242,Praise,Resolved
226,243,Praise,Resolved
227,244,Complaint,Resolved
228,245,Complaint,Pending
229,246,Praise,Resolved
230,247,Suggestion,Pending
231,248,Praise,Resolved
232,249,Praise,Resolved
233,250,Suggestion,Resolved
234,251,Suggestion,Resolved
235,252,Praise,Pending
236,253,Complaint,Pending
237,254,Complaint,Pending
238,255,Suggestion,Pending
239,256,Praise,Pending
240,258,Praise,Pending
241,259,Suggestion,Resolved
242,260,Suggestion,Resolved
243,262,Suggestion,Pending
244,264,Suggestion,Resolved
245,265,Complaint,Resolved
246,266,Complaint,Resolved
247,267,Complaint,Resolved
248,268,Suggestion,Pending
249,269,Complaint,Resolved
250,270,Complaint,Resolved
251,271,Complaint,Resolved
252,272,Praise,Resolved
253,273,Suggestion,Resolved
254,274,Complaint,Resolved
255,275,Praise,Resolved
256,276,Praise,Pending
257,277,Complaint,Pending
258,278,Praise,Resolved
