LoanSK,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status
1,1,32200.06,Mortgage,2.64,36,Rejected
2,2,47743.52,Auto,2.48,36,Approved
3,3,47981.31,Auto,7.84,24,Closed
4,4,4482.8,Personal,7.21,48,Approved
5,5,1092.33,Mortgage,5.37,12,Approved
6,6,48039.24,Mortgage,1.45,24,Closed
7,7,27230.51,Mortgage,5.25,24,Approved
8,8,35319.63,Mortgage,8.51,12,Approved
9,10,22224.58,Auto,1.92,24,Closed
10,11,22592.01,Personal,8.28,60,Rejected
11,12,9182.1,Auto,5.73,48,Approved
12,13,45385.59,Auto,6.96,36,Approved
13,14,32735.99,Auto,7.71,48,Approved
14,15,9833.19,Mortgage,3.7,36,Closed
15,16,28429.81,Mortgage,3.68,24,Approved
16,17,17080.03,Auto,3.38,36,Rejected
17,18,8211.92,Auto,2.51,12,Closed
18,19,9911.6,Personal,3.74,12,Rejected
19,20,28403.6,Mortgage,9.58,48,Closed
20,21,28654.88,Personal,1.77,12,Closed
21,23,13151.23,Mortgage,3.86,60,Closed
22,24,45875.84,Personal,2.38,60,Rejected
23,25,26412.03,Mortgage,1.7,48,Rejected
24,26,11004.46,Personal,2.46,48,Approved
25,27,21250.75,Personal,5.75,48,Approved
26,28,46244.6,Mortgage,6.37,36,Approved
27,29,24429.67,Auto,2.94,12,Rejected
28,30,43861.04,Auto,5.53,36,Closed
29,31,8831.8,Auto,1.06,36,Approved
30,32,45783.96,Auto,6.42,36,Closed
31,33,22100.32,Mortgage,1.01,60,Closed
32,34,46870.22,Personal,6.78,60,Rejected
33,35,43437.85,Mortgage,5.35,36,Closed
34,36,33338.35,Mortgage,1.98,24,Rejected
35,37,33969.47,Mortgage,1.8,36,Rejected
36,38,11363.89,Personal,1.06,24,Rejected
37,39,30538.66,Auto,5.96,24,Rejected
38,40,27925.28,Mortgage,8.26,12,Rejected
39,41,17373.2,Mortgage,8.71,48,Rejected
40,42,25775.45,Personal,6.12,36,Closed
41,43,46528.03,Personal,8.98,36,Approved
42,44,1259.98,Mortgage,8.76,36,Approved
43,45,21439.08,Personal,7.28,48,Approved
44,46,17348.3,Mortgage,4.27,24,Closed
45,47,48100.32,Mortgage,8.44,36,Closed
46,48,48720.82,Mortgage,4.53,36,Rejected
47,49,29697.37,Personal,4.63,48,Approved
