DateSK,FullDate,Year,Quarter,Month,MonthName,Day,DayName,IsWeekend
1,2000-01-01,2000,1,1,January,1,Saturday,Yes
2,2000-01-02,2000,1,1,January,2,Sunday,Yes
3,2000-01-06,2000,1,1,January,6,Thursday,No
4,2000-01-07,2000,1,1,January,7,Friday,No
5,2000-01-08,2000,1,1,January,8,Saturday,Yes
6,2000-01-10,2000,1,1,January,10,Monday,No
7,2000-01-14,2000,1,1,January,14,Friday,No
8,2000-01-17,2000,1,1,January,17,Monday,No
9,2000-01-19,2000,1,1,January,19,Wednesday,No
10,2000-01-21,2000,1,1,January,21,Friday,No
11,2000-01-23,2000,1,1,January,23,Sunday,Yes
12,2000-01-24,2000,1,1,January,24,Monday,No
13,2000-01-25,2000,1,1,January,25,Tuesday,No
14,2000-01-28,2000,1,1,January,28,Friday,No
15,2000-02-04,2000,1,2,February,4,Friday,No
16,2000-02-05,2000,1,2,February,5,Saturday,Yes
17,2000-02-07,2000,1,2,February,7,Monday,No
18,2000-02-15,2000,1,2,February,15,Tuesday,No
19,2000-02-16,2000,1,2,February,16,Wednesday,No
20,2000-02-17,2000,1,2,February,17,Thursday,No
21,2000-02-22,2000,1,2,February,22,Tuesday,No
22,2000-02-23,2000,1,2,February,23,Wednesday,No
23,2000-02-24,2000,1,2,February,24,Thursday,No
24,2000-03-02,2000,1,3,March,2,Thursday,No
25,2000-03-04,2000,1,3,March,4,Saturday,Yes
26,2000-03-09,2000,1,3,March,9,Thursday,No
27,2000-03-10,2000,1,3,March,10,Friday,No
28,2000-03-11,2000,1,3,March,11,Saturday,Yes
29,2000-03-14,2000,1,3,March,14,Tuesday,No
30,2000-03-16,2000,1,3,March,16,Thursday,No
31,2000-03-19,2000,1,3,March,19,Sunday,Yes
32,2000-03-23,2000,1,3,March,23,Thursday,No
33,2000-03-24,2000,1,3,March,24,Friday,No
34,2000-03-25,2000,1,3,March,25,Saturday,Yes
35,2000-03-27,2000,1,3,March,27,Monday,No
36,2000-03-28,2000,1,3,March,28,Tuesday,No
37,2000-03-31,2000,1,3,March,31,Friday,No
38,2000-04-08,2000,2,4,April,8,Saturday,Yes
39,2000-04-09,2000,2,4,April,9,Sunday,Yes
40,2000-04-10,2000,2,4,April,10,Monday,No
41,2000-04-13,2000,2,4,April,13,Thursday,No
42,2000-04-14,2000,2,4,April,14,Friday,No
43,2000-04-15,2000,2,4,April,15,Saturday,Yes
44,2000-04-18,2000,2,4,April,18,Tuesday,No
45,2000-04-19,2000,2,4,April,19,Wednesday,No
46,2000-04-21,2000,2,4,April,21,Friday,No
47,2000-04-22,2000,2,4,April,22,Saturday,Yes
48,2000-04-23,2000,2,4,April,23,Sunday,Yes
49,2000-04-27,2000,2,4,April,27,Thursday,No
50,2000-04-29,2000,2,4,April,29,Saturday,Yes
51,2000-04-30,2000,2,4,April,30,Sunday,Yes
52,2000-05-03,2000,2,5,May,3,Wednesday,No
53,2000-05-05,2000,2,5,May,5,Friday,No
54,2000-05-06,2000,2,5,May,6,Saturday,Yes
55,2000-05-11,2000,2,5,May,11,Thursday,No
56,2000-05-14,2000,2,5,May,14,Sunday,Yes
57,2000-05-17,2000,2,5,May,17,Wednesday,No
58,2000-05-24,2000,2,5,May,24,Wednesday,No
59,2000-05-25,2000,2,5,May,25,Thursday,No
60,2000-05-29,2000,2,5,May,29,Monday,No
61,2000-06-03,2000,2,6,June,3,Saturday,Yes
62,2000-06-04,2000,2,6,June,4,Sunday,Yes
63,2000-06-06,2000,2,6,June,6,Tuesday,No
64,2000-06-09,2000,2,6,June,9,Friday,No
65,2000-06-12,2000,2,6,June,12,Monday,No
66,2000-06-16,2000,2,6,June,16,Friday,No
67,2000-06-20,2000,2,6,June,20,Tuesday,No
68,2000-06-25,2000,2,6,June,25,Sunday,Yes
69,2000-06-27,2000,2,6,June,27,Tuesday,No
70,2000-06-28,2000,2,6,June,28,Wednesday,No
71,2000-06-29,2000,2,6,June,29,Thursday,No
72,2000-07-01,2000,3,7,July,1,Saturday,Yes
73,2000-07-02,2000,3,7,July,2,Sunday,Yes
74,2000-07-04,2000,3,7,July,4,Tuesday,No
75,2000-07-09,2000,3,7,July,9,Sunday,Yes
76,2000-07-12,2000,3,7,July,12,Wednesday,No
77,2000-07-16,2000,3,7,July,16,Sunday,Yes
78,2000-07-17,2000,3,7,July,17,Monday,No
79,2000-07-18,2000,3,7,July,18,Tuesday,No
80,2000-07-19,2000,3,7,July,19,Wednesday,No
81,2000-07-22,2000,3,7,July,22,Saturday,Yes
82,2000-07-24,2000,3,7,July,24,Monday,No
83,2000-07-25,2000,3,7,July,25,Tuesday,No
84,2000-07-27,2000,3,7,July,27,Thursday,No
85,2000-07-28,2000,3,7,July,28,Friday,No
86,2000-07-29,2000,3,7,July,29,Saturday,Yes
87,2000-07-30,2000,3,7,July,30,Sunday,Yes
88,2000-07-31,2000,3,7,July,31,Monday,No
89,2000-08-02,2000,3,8,August,2,Wednesday,No
90,2000-08-03,2000,3,8,August,3,Thursday,No
91,2000-08-07,2000,3,8,August,7,Monday,No
