TransactionID,CustomerSK,LoanSK,CardSK,FeedbackSK,TimeSK,Transaction Amount,Account Balance After Transaction,Interest Rate,Credit Card Balance,Rewards Points,Anomaly
1,1,1,1,1,4530,1457.61,2770.99,2.64,4524.32,8142,1
2,2,2,2,2,4306,1660.99,7649.45,2.48,856.7,4306,1
3,3,3,3,3,4284,839.91,7437.97,7.84,3242.36,4842,1
4,4,4,4,4,4398,4908.89,12396.1,7.21,4329.17,9463,1
5,5,5,5,5,4205,589.07,6404.48,5.37,25.72,2209,1
6,6,6,6,6,4300,4914.67,4380.97,1.45,1331.7,478,1
7,7,7,7,7,4515,3534.9,470.82,5.25,1441.65,5745,1
8,8,8,8,8,4411,454.87,1003.58,8.51,3450.21,5559,1
10,9,9,9,9,4552,1641.59,11196.21,1.92,2765.38,8226,1
11,10,10,10,10,4348,1309.13,7239.88,8.28,4564.25,4624,1
12,11,11,11,11,4283,4865.91,12992.76,5.73,4935.07,3488,1
13,12,12,12,12,4525,3070.58,8472.62,6.96,339.59,2102,1
14,13,13,13,13,4489,381.21,4426.3,7.71,4357.95,4833,1
15,14,14,14,14,4353,2631.77,-549.1,3.7,1066.61,4769,1
16,15,15,15,15,4485,4486.73,13065.17,3.68,770.74,7000,1
17,16,16,16,16,4508,2086.75,2815.55,3.38,3905.1,2437,1
18,17,17,17,17,4444,3333.99,5678.32,2.51,3165.21,5109,1
19,18,18,18,18,4508,3868.23,-1738.6,3.74,299.03,8681,1
20,19,19,19,19,4462,933.29,-738.93,9.58,1076.46,3441,1
21,20,20,20,20,4227,4278.95,-3150.37,1.77,3559.98,1213,1
23,21,21,21,21,4376,292.88,536.82,3.86,1424.94,1533,1
24,22,22,22,22,4214,4395.73,8012.61,2.38,2256.35,6245,1
25,23,23,23,23,4522,2826.12,5404.25,1.7,4563.01,6588,1
26,24,24,24,24,4331,999.63,1464.49,2.46,4251.87,5749,1
27,25,25,25,25,4313,1594.08,3767.44,5.75,1084.56,1470,1
28,26,26,26,26,4214,2851.17,12834.67,6.37,1530.42,2965,1
29,27,27,27,27,4480,1877.13,6667.64,2.94,2591.92,2963,1
30,28,28,28,28,4524,1174.58,597.46,5.53,2181.1,8656,1
31,29,29,29,29,4364,2401.76,11256.49,1.06,3846.45,3298,1
32,30,30,30,30,4421,933.38,5506.14,6.42,4756.24,6208,1
33,31,31,31,31,4334,1234.44,1570.74,1.01,3107.77,2387,1
34,32,32,32,32,4534,4135.4,10574.43,6.78,560.7,4561,1
35,33,33,33,33,4212,1150.42,3395.7,5.35,2208.16,2971,1
36,34,34,34,34,4413,3479.88,12288.43,1.98,2735.81,6543,1
37,35,35,35,35,4311,1259.84,5019.58,1.8,4775.86,443,1
38,36,36,36,36,4412,1069.87,2516.49,1.06,1725.59,440,1
39,37,37,37,37,4419,1263.27,4486.15,5.96,3347.7,9290,1
40,38,38,38,38,4206,2346.81,2805.86,8.26,56.38,526,1
41,39,39,39,39,4474,739.94,4027.47,8.71,2183.5,1841,1
42,40,40,40,40,4191,542,3171.26,6.12,202.41,6292,1
43,41,41,41,41,4456,3786.14,1008.49,8.98,1185.11,2095,1
44,42,42,42,42,4205,126.28,5775.23,8.76,2346.46,2285,1
45,43,43,43,43,4526,1933.57,5428.77,7.28,2906.73,7103,1
46,44,44,44,44,4210,1986.21,7200.76,4.27,4383.34,4173,1
47,45,45,45,45,4440,4466.28,-3926.88,8.44,924.02,722,1
48,46,46,46,46,4466,3874.71,9611.22,4.53,1543.14,5615,1
49,47,47,47,47,4195,2558.28,10102.82,4.63,2786.09,2212,1
50,48,48,48,48,4491,2404.27,3648.26,7.1,1063.32,2445,1
52,49,49,49,49,4212,1795.56,4320.96,5.5,4369.68,2757,1
53,50,50,50,50,4503,3506.88,4843.11,2.59,4434.35,2042,1
54,51,51,51,51,4374,3433.5,3220.37,2.28,3601.42,4735,1
55,52,52,52,52,4413,2877.53,2761.98,3.72,4981.24,8927,1
56,53,53,53,53,4228,297.89,8407.61,5.12,4130.99,8261,1
57,54,54,54,54,4220,642.92,10338.34,3.68,2479.94,2928,1
58,55,55,55,55,4191,205.99,9765.61,7.41,3693.78,5456,1
59,56,56,56,56,4531,3595.39,3269.09,5.88,479.28,3616,1
61,57,57,57,57,4489,4775.36,13534.88,2.92,4920.85,4132,1
62,58,58,58,58,4316,4762.12,1815.93,6.45,4285.04,8052,1
64,59,59,59,59,4264,2220.81,7109.6,8.06,826.04,2892,1
65,60,60,60,60,4498,1588.59,5913.15,9.92,527.51,1801,1
66,61,61,61,61,4265,1012.86,5595.86,3.08,2128.26,6734,1
67,62,62,62,62,4539,1170.15,5769.61,1.14,190.61,466,1
69,63,63,63,63,4490,2656.44,6456.16,9.32,2925.25,71,1
70,64,64,64,64,4424,71.14,1102.54,3.24,2837.64,7405,1
71,65,65,65,65,4244,231.02,5200.74,7.8,2230.04,5695,1
72,66,66,66,66,4388,2299.24,6560.82,3.88,1689.29,6865,1
73,67,67,67,67,4218,2222.97,3663.78,4.52,2421.45,257,1
74,68,68,68,68,4493,2033.74,9985.31,9.53,2587.65,7360,1
76,69,69,69,69,4252,3518.75,3247.86,7.53,826.25,5136,1
77,70,70,70,70,4338,546.01,1430.03,5.95,2876.14,1868,1
78,71,71,71,71,4502,1819.77,3788.16,7.88,2895.65,2974,1
79,72,72,72,72,4458,2987.43,2040.47,3.86,1834.95,9311,1
80,73,73,73,73,4344,1918.62,11380.1,8.89,4821.45,5682,1
81,74,74,74,74,4385,1049.44,361.96,5.94,3725.51,8898,1
82,75,75,75,75,4533,3143.98,-2950.02,3.78,3553.84,4919,1
83,76,76,76,76,4294,3015.22,4475.03,1.34,4365.64,9222,1
84,77,77,77,77,4454,4873.3,-3083.31,1.12,1694.55,6577,1
85,78,78,78,78,4263,2809.74,-225.72,4.18,1063.35,697,1
86,79,79,79,79,4264,4372.74,3796.64,2.94,2191.43,4225,1
87,80,80,80,80,4286,4746.49,8577.61,1.47,2987.74,8866,1
88,81,81,81,81,4430,2179.57,10603.07,5.98,2788,7888,1
89,82,82,82,82,4328,273.94,3066.09,9.9,1102.03,4072,1
90,83,83,83,83,4298,726.04,7893.32,4.8,1343.47,1434,1
91,84,84,84,84,4217,2524.81,2704.91,5.97,4628.69,6763,1
92,85,85,85,85,4291,4465.86,4886.04,2.98,405.51,1807,1
93,86,86,86,86,4539,3274.12,10760.01,2.84,2520.25,7430,1
94,87,87,87,87,4308,1015.39,3170.64,3.96,2373.34,2695,1
95,88,88,88,88,4261,3508.21,9323.83,8.52,1916.85,2170,1
96,89,89,89,89,4216,4472.15,13809.02,9.65,3918.05,1024,1
97,90,90,90,90,4339,160.83,5706.52,7.66,4612.91,2512,1
98,91,91,91,91,4359,1221.63,3584.46,1.19,4986.37,7899,1
99,92,92,92,92,4349,774.37,6545.82,4.95,613.7,3175,1
100,93,93,93,93,4331,3922.67,12650,4.79,214.28,8789,1
101,94,94,94,94,4343,4458.47,14334.22,9.42,1376.5,9703,1
102,95,95,95,95,4439,2777.24,3105.18,7.71,3412.51,31,1
103,96,96,96,96,4372,4242.53,-2601.64,7.43,2022.65,4147,1
104,97,97,97,97,4392,3288.12,4452.23,6.08,2329.53,7328,1
105,98,98,98,98,4260,3286.93,6682.49,6.81,4997.11,4710,1
106,99,99,99,99,4372,2902.74,1886.26,7.29,2456.68,6998,1
107,100,100,100,100,4362,259.59,3639.36,5.97,4576.73,7527,1
108,101,101,101,101,4219,4685.52,10255.28,8.6,2058.35,233,1
109,102,102,102,102,4511,1785.3,3516.49,1.33,2200.76,3505,1
110,103,103,103,103,4544,4014.86,5700.85,9.47,3857.36,6390,1
111,104,104,104,104,4343,4051.82,12451.33,7.96,4507.25,6264,1
112,105,105,105,105,4278,4829.15,6047.76,5.76,4064.69,7027,1
113,106,106,106,106,4410,1640.23,11096.54,8.74,2357.23,2290,1
114,107,107,107,107,4500,4987.02,4446.89,8.45,3490.18,4252,1
115,108,108,108,108,4547,1509.87,1722.04,4.77,1318.87,5608,1
116,109,109,109,109,4510,2262.34,8491.85,8.56,385.92,6192,1
118,110,110,110,110,4287,783.39,1716.88,5.22,120.35,4647,1
119,111,111,111,111,4231,1339.2,6406.97,3.09,2222.57,1429,1
120,112,112,112,112,4489,3643.29,-3051.48,2.12,3278.29,8769,1
121,113,113,113,113,4258,4872.18,13633.61,9.05,167.13,43,1
123,114,114,114,114,4453,4312.87,-3546.54,7.16,2604.08,9171,1
124,115,115,115,115,4551,197.06,765.18,4.38,4697.89,6392,1
125,116,116,116,116,4252,2889.36,5181.4,5.9,706.91,150,1
126,117,117,117,117,4395,4571.32,4735.27,4.13,3392.53,8470,1
127,118,118,118,118,4337,3415.16,4298.08,7.68,3272.27,9401,1
128,119,119,119,119,4518,3385.55,10182.88,8.08,1529.74,6486,1
129,120,120,120,120,4444,1023.17,6762.67,4.87,379.47,8687,1
130,121,121,121,121,4440,4307.09,6381.91,8.74,3045.93,2220,1
131,122,122,122,122,4450,4326.58,6966.8,4.2,2216.28,8979,1
133,123,123,123,123,4200,2138.82,8228.97,6.85,3900.56,987,1
134,124,124,124,124,4206,4123.12,1998.26,5.1,2024.65,9179,1
135,125,125,125,125,4257,2330.33,4495.55,9,3085.42,1932,1
136,126,126,126,126,4194,4114.85,8538.45,6.15,1281.2,4718,1
137,127,127,127,127,4395,2429.73,9360.93,8.56,391.53,7801,1
138,128,128,128,128,4271,2903.17,6068.4,7.6,775.69,8387,1
139,129,129,129,129,4256,3742.63,4589.85,5.79,1838.14,6968,1
140,130,130,130,130,4434,1332.32,721.84,3.94,3669.04,4561,1
141,131,131,131,131,4456,1241.76,2972.64,9.56,2928.2,714,1
142,132,132,132,132,4428,3342.53,9698.76,1.51,1881.02,9063,1
143,133,133,133,133,4420,4770.03,-3991.4,9.05,2371.43,6128,1
144,134,134,134,134,4417,2235.71,6623.31,5.56,2908.31,2160,1
145,135,135,135,135,4342,4492.03,5427.46,7.74,846.06,8707,1
146,136,136,136,136,4231,2595.75,3423.56,4.01,1359.01,358,1
147,137,137,137,137,4480,4869.92,14172.29,4.46,1382.53,2320,1
149,138,138,138,138,4248,4299.19,-406.45,9.59,998.89,9159,1
150,139,139,139,139,4306,3401.22,6747.88,1.39,2796.43,1150,1
151,140,140,140,140,4438,4343.78,-836.11,4.48,1131.56,3012,1
152,141,141,141,141,4237,2968.06,3075.02,4.01,2909.99,3935,1
153,142,142,142,142,4402,2841.01,5535.83,8.32,120.08,3765,1
154,143,143,143,143,4448,4369.82,-3999.32,5.51,869.04,3920,1
155,144,144,144,144,4213,85.18,9541.34,2.52,3057.75,3507,1
156,145,145,145,145,4425,2399.11,5113.77,5.58,2922.09,5639,1
157,146,146,146,146,4386,4351.67,-2913.91,3.12,1378.44,7205,1
158,147,147,147,147,4546,988.79,5594.84,1.15,3116.28,3106,1
159,148,148,148,148,4222,4790.47,-4069.52,5.9,829.57,5436,1
160,149,149,149,149,4515,3705.6,4081.38,4.24,4087.66,8753,1
161,150,150,150,150,4364,3814.49,-3244.12,3.15,1251.65,2604,1
162,151,151,151,151,4242,3330.73,4251.47,2.55,2336.54,5262,1
163,152,152,152,152,4362,2242.9,6747.65,5.08,4736.61,9907,1
164,153,153,153,153,4400,2310.17,10769.7,8.83,2888.99,5930,1
165,154,154,154,154,4502,4197.15,-1075.52,7.82,3761.37,9441,1
166,155,155,155,155,4402,704.31,8480,1.04,3727.59,3357,1
167,156,156,156,156,4387,2615.12,-1743.57,7.58,1906.93,7951,1
170,157,157,157,157,4238,28.43,2811.15,8.02,168.94,3832,1
171,158,158,158,158,4203,327.73,7841.85,5.08,1320.95,5145,1
173,159,159,159,159,4383,2723.52,6776.84,9.46,2097.76,1802,1
174,160,160,160,160,4470,701.29,8578.19,1.26,45.09,2157,1
175,161,161,161,161,4449,2248.72,1371.81,1.95,3803.42,3765,1
176,162,162,162,162,4436,1620.06,11534.26,8.83,4815.27,5527,1
177,163,163,163,163,4252,4556.93,6661.57,8.98,158.31,6037,1
178,164,164,164,164,4244,3441.02,7524.92,4.35,2889.18,8537,1
180,165,165,165,165,4212,2686.86,12655.25,2.48,2618.58,2004,1
181,166,166,166,166,4297,680.96,3148.18,8.96,4715.61,7071,1
182,167,167,167,167,4365,3329.5,10786.32,5.22,3826.42,9833,1
183,168,168,168,168,4204,3638.86,6765.58,6.08,3731.6,7330,1
184,169,169,169,169,4496,2815.18,4872.9,2.06,1467.03,1138,1
185,170,170,170,170,4341,4830.12,6170.43,6.53,3982.37,7290,1
186,171,171,171,171,4465,4722.23,-1294.15,7.26,512.42,9002,1
187,172,172,172,172,4501,1037.52,-195.02,3.65,3537.47,8097,1
188,173,173,173,173,4227,11.64,4958.14,9.07,2020.83,8657,1
189,174,174,174,174,4470,3317.12,3727.74,2.84,2186.18,4937,1
190,175,175,175,175,4275,2383.45,6231.75,9.08,2449.18,3447,1
191,176,176,176,176,4513,1679.95,7865.65,7.33,3841.22,1937,1
192,177,177,177,177,4269,4585.28,1148.68,8.48,1557.54,9840,1
193,178,178,178,178,4509,4892.75,-1876.24,7.29,1617.49,1701,1
194,179,179,179,179,4360,4653.58,9572.68,4.86,2601.65,6100,1
195,180,180,180,180,4260,2505.97,-1722.68,3.98,1338.98,9394,1
196,181,181,181,181,4277,3519.75,8172.89,7.61,2230.58,8131,1
197,182,182,182,182,4246,866.15,5502.23,3.68,3301.72,4377,1
198,183,183,183,183,4356,4754.77,-4370.46,1.56,4949.28,1764,1
199,184,184,184,184,4308,1425.55,3761.8,3.22,1309.97,1471,1
200,185,185,185,185,4474,971.77,8374.94,7.8,1310.76,7179,1
201,186,186,186,186,4425,310.19,4887.49,8.14,1970.59,6515,1
202,187,187,187,187,4509,2756.35,9252,3.49,3295.36,2011,1
204,188,188,188,188,4209,686.59,8559.86,5.94,4745.12,2801,1
205,189,189,189,189,4196,612.94,5806.05,3.36,1690.09,4164,1
206,190,190,190,190,4399,1370.26,2012.67,6.46,2086.37,2813,1
207,191,191,191,191,4427,3330.32,11623.25,3.54,2181.68,2240,1
208,192,192,192,192,4539,2743.59,3513.04,2.09,1744.56,725,1
209,193,193,193,193,4303,490.07,3455.69,2.39,1577.08,9231,1
210,194,194,194,194,4498,2217.08,3738.62,3.25,356.96,4357,1
211,195,195,195,195,4347,343.99,8918.65,2.51,2725.48,1847,1
212,196,196,196,196,4511,4261,-3446.8,9.77,3311.69,7589,1
213,197,197,197,197,4316,544.49,1595.41,6.93,4957.89,7893,1
214,198,198,198,198,4392,2361.78,533.83,2.61,3095.85,5035,1
215,199,199,199,199,4413,2557.21,954.05,4.82,3052.17,3884,1
216,200,200,200,200,4259,2655.33,5795.7,3.42,1851.94,4646,1
217,201,201,201,201,4537,3049.68,12642.82,7.16,287.56,4047,1
218,202,202,202,202,4309,3510.9,3781.46,8.81,3070.83,7776,1
219,203,203,203,203,4342,31.75,220.28,4.61,627.7,1494,1
220,204,204,204,204,4212,164.26,8497.36,4.86,3719.57,2113,1
221,205,205,205,205,4329,3061.64,-1619.03,4.59,3770.77,1414,1
222,206,206,206,206,4301,918.89,4378.32,5.04,525.49,6231,1
223,207,207,207,207,4327,4160.91,-1336.3,1.32,1388.13,7116,1
224,208,208,208,208,4369,3141.28,-250.78,6.33,4099.49,7247,1
225,209,209,209,209,4308,4902.2,8255.26,9.57,4810.91,330,1
226,210,210,210,210,4319,3642.74,7069.6,8.07,3652.84,5636,1
227,211,211,211,211,4377,462.66,6702.2,8.75,2006.63,432,1
228,212,212,212,212,4270,863.17,7188.13,3.06,4136.06,5555,1
230,213,213,213,213,4516,3708.47,4891.09,9.04,4331.3,1645,1
231,214,214,214,214,4263,642.85,7829.3,1.62,214.18,5968,1
232,215,215,215,215,4467,3322.2,-1071.75,8.9,4964.63,2463,1
233,216,216,216,216,4315,2781.43,2700.6,1.58,552.67,1450,1
234,217,217,217,217,4345,3170.16,4689.83,9.85,4575.83,3464,1
235,218,218,218,218,4372,2548.26,11230.32,1.76,4262.7,5019,1
236,219,219,219,219,4295,75.01,2701.35,4.31,1466.02,1932,1
237,220,220,220,220,4523,1273.56,3718.03,1.49,2311.76,6113,1
238,221,221,221,221,4336,4426.06,871.71,1.51,1072.37,1392,1
239,222,222,222,222,4190,4647.05,11673.47,8.8,2405.34,5659,1
240,223,223,223,223,4373,495.08,2874.49,1.57,904.03,1610,1
241,224,224,224,224,4277,4763.62,-1758.45,8.13,1463.07,8134,1
242,225,225,225,225,4381,3355.92,3729.5,9.16,195.79,5880,1
243,226,226,226,226,4276,4613.56,8666.98,9.42,2759.35,2503,1
244,227,227,227,227,4258,2011.81,2151.65,8.78,3617.72,5681,1
245,228,228,228,228,4529,517.71,8866.97,9.6,1011.49,4369,1
246,229,229,229,229,4299,1519.24,3100.73,1.47,3060.67,5538,1
247,230,230,230,230,4549,3451.51,5022.99,9.97,240.42,8061,1
248,231,231,231,231,4361,3978.16,4223.66,1.18,417.31,6935,1
249,232,232,232,232,4366,260.11,3681.59,2.5,2722.29,3505,1
250,233,233,233,233,4288,2439.89,909.05,1.73,296.43,1093,1
251,234,234,234,234,4225,331.19,5930.52,7.7,2286.04,5281,1
252,235,235,235,235,4414,4319.43,5003.91,1.78,320.35,664,1
253,236,236,236,236,4533,2386.93,58.99,3.63,1746.38,6368,1
254,237,237,237,237,4482,4574.96,-3947.58,6.74,4403.33,812,1
255,238,238,238,238,4442,402.11,2583.84,5.48,3732,2048,1
256,239,239,239,239,4240,1659.05,10371.36,2.23,2067.78,8249,1
258,240,240,240,240,4342,1474.99,4638.41,4.07,1823.61,9654,1
259,241,241,241,241,4531,4209.38,6166.49,6.27,658.84,474,1
260,242,242,242,242,4426,4934.3,-3495.07,5.85,1953.25,4837,1
262,243,243,243,243,4325,1811.78,6469.64,8.77,4239.71,5449,1
264,244,244,244,244,4498,1796.72,-1242.03,2.58,3189.8,4118,1
265,245,245,245,245,4294,2784.37,-613,9.22,335.96,7627,1
266,246,246,246,246,4472,3848.52,5959.91,5.86,713.68,3922,1
267,247,247,247,247,4506,2197.34,10498.8,7.84,472.18,6826,1
268,248,248,248,248,4510,1869.31,2747.98,5.53,954.37,3359,1
269,249,249,249,249,4273,2482.99,6230.1,8.07,3869.91,3905,1
270,250,250,250,250,4388,3899.8,13470.2,2.19,3101.83,476,1
271,251,251,251,251,4234,1567.69,7693.35,7.64,2211.73,7869,1
272,252,252,252,252,4378,1760.53,6217.59,8.83,57.96,7544,1
273,253,253,253,253,4239,953.81,2324.3,3.39,3340.55,4518,1
274,254,254,254,254,4493,3511.07,-1718.14,4.32,2696.95,3540,1
275,255,255,255,255,4390,4498.26,5707.89,6.32,414.14,9634,1
276,256,256,256,256,4364,936.84,7773.83,8.81,3503.75,2561,1
277,257,257,257,257,4331,182.6,5774,9.17,1349.12,6648,1
278,258,258,258,258,4464,1912.54,3698.24,5.81,2420.03,2193,1
279,259,259,259,259,4379,2056.67,-982.73,6.92,1593.86,2118,1
280,260,260,260,260,4323,3232.86,11186.28,8.86,1612.87,3227,1
281,261,261,261,261,4290,437.1,5839.27,3.08,295.14,1453,1
282,262,262,262,262,4535,4109.28,-3108.68,8.43,238.78,97,1
283,263,263,263,263,4458,2874.19,10370.78,3.36,3888.99,5850,1
285,264,264,264,264,4491,1588.65,2879.04,9.41,1438.06,4123,1
286,265,265,265,265,4222,1832.68,3077.66,5.6,4756.37,4855,1
287,266,266,266,266,4305,286.58,1390.43,1.84,3993.9,289,1
288,267,267,267,267,4286,3771.24,-3415.03,9.06,2591.96,516,1
289,268,268,268,268,4230,3027.64,10754.58,6.26,3710.94,3300,1
290,269,269,269,269,4518,4882.38,11852.99,1.64,4718.94,6295,1
291,270,270,270,270,4396,1774.27,4109.7,1.09,4699.36,3428,1
292,271,271,271,271,4218,3334.56,4345.17,3.35,2229.14,978,1
293,272,272,272,272,4452,4598.53,5394.52,2.08,1612.06,2322,1
294,273,273,273,273,4284,3561.29,7639.58,6.66,3740.67,752,1
295,274,274,274,274,4371,211.15,6876.37,6.37,2050.93,7967,1
296,275,275,275,275,4200,3164.86,6998.76,8.57,774.01,4856,1
297,276,276,276,276,4231,2731.5,6316.87,5.62,968.8,9740,1
298,277,277,277,277,4450,2501.57,11025.68,3.28,2715.58,347,1
299,278,278,278,278,4191,2769.69,8559.85,1.45,2545.9,1980,1
300,279,279,279,279,4232,2308.22,3602.29,1.09,2316.68,2812,1
301,280,280,280,280,4193,3462.24,7557.05,9.33,1850.26,2815,1
302,281,281,281,281,4526,84.42,7901.47,2.3,1625.51,7999,1
303,282,282,282,282,4284,950.91,10356.89,5.49,941.17,1982,1
304,283,283,283,283,4248,1833.27,4349.57,8.15,3409.23,9746,1
305,284,284,284,284,4219,2268.81,6271.53,9.36,2515.52,6359,1
306,285,285,285,285,4277,661.13,1933.5,2.82,1846.73,1131,1
307,286,286,286,286,4519,4102.53,8380.56,3.09,3886.96,2320,1
308,287,287,287,287,4409,4647.66,10347.64,2.62,3162.06,3202,1
309,288,288,288,288,4317,3758.57,3902.3,2.43,3778.11,9873,1
310,289,289,289,289,4360,4644.8,7404.71,5.09,3222.2,3453,1
311,290,290,290,290,4541,3718.67,10466.68,6.72,3125.05,2317,1
312,291,291,291,291,4414,2210.87,4554.1,7.36,2059.07,3050,1
313,292,292,292,292,4463,1971.73,8536.5,3.94,1405.2,5250,1
316,293,293,293,293,4386,1105.9,1664.41,8.99,1004.28,6032,1
317,294,294,294,294,4504,2665.36,5469.61,8.83,3364.06,2763,1
318,295,295,295,295,4219,683.39,4638.23,5.9,946.97,6982,1
