TransactionID,CustomerSK,LoanSK,CardSK,FeedbackSK,TimeSK,Transaction Amount,Account Balance After Transaction,Interest Rate,Credit Card Balance,Rewards Points,Anomaly,Isolation_Forest_Prediction,Model_Anomaly_Flag,Anomaly_Score
1,1,1,1,1,4530,1457.61,2770.99,2.64,4524.32,8142,1,1,0,0.12275914794978
2,2,2,2,2,4306,1660.99,7649.45,2.48,856.7,4306,1,1,0,0.148726648254201
3,3,3,3,3,4284,839.91,7437.97,7.84,3242.36,4842,1,1,0,0.147697585985078
4,4,4,4,4,4398,4908.89,12396.1,7.21,4329.17,9463,1,1,0,0.0170841146793254
5,5,5,5,5,4205,589.07,6404.48,5.37,25.72,2209,1,1,0,0.0470390420981595
6,6,6,6,6,4300,4914.67,4380.97,1.45,1331.7,478,1,1,0,0.0527728729754076
7,7,7,7,7,4515,3534.9,470.82,5.25,1441.65,5745,1,1,0,0.141187029809006
8,8,8,8,8,4411,454.87,1003.58,8.51,3450.21,5559,1,1,0,0.123396201479891
10,9,9,9,9,4552,1641.59,11196.21,1.92,2765.38,8226,1,1,0,0.116484446004293
11,10,10,10,10,4348,1309.13,7239.88,8.28,4564.25,4624,1,1,0,0.121799133355032
12,11,11,11,11,4283,4865.91,12992.76,5.73,4935.07,3488,1,1,0,0.0188273157449151
13,12,12,12,12,4525,3070.58,8472.62,6.96,339.59,2102,1,1,0,0.0991917065131096
14,13,13,13,13,4489,381.21,4426.3,7.71,4357.95,4833,1,1,0,0.113035286839382
15,14,14,14,14,4353,2631.77,-549.1,3.7,1066.61,4769,1,1,0,0.138379890828723
16,15,15,15,15,4485,4486.73,13065.17,3.68,770.74,7000,1,1,0,0.0461726151335993
17,16,16,16,16,4508,2086.75,2815.55,3.38,3905.1,2437,1,1,0,0.157974080355731
18,17,17,17,17,4444,3333.99,5678.32,2.51,3165.21,5109,1,1,0,0.177570134398827
19,18,18,18,18,4508,3868.23,-1738.6,3.74,299.03,8681,1,1,0,0.0559993601017158
20,19,19,19,19,4462,933.29,-738.93,9.58,1076.46,3441,1,1,0,0.0890069477554533
21,20,20,20,20,4227,4278.95,-3150.37,1.77,3559.98,1213,1,1,0,0.0453120643849333
23,21,21,21,21,4376,292.88,536.82,3.86,1424.94,1533,1,1,0,0.0857899603798695
24,22,22,22,22,4214,4395.73,8012.61,2.38,2256.35,6245,1,1,0,0.123655054321752
